,id,text,timestamp,user,location
39,762841121135353860,"Several intersections without power, south of US 60 in Tempe. Officers in route to assist w/ traffic. Please use… http://toplocalnow.com/us/phoenix ",2016-08-09 02:41:10,PhoenixCP,Phoenix
40,762818962358886400,"NOW: 9,689 customers without power in the Tempe area after a circuit breaker tripped. abc15 @abc15 http://toplocalnow.com/us/phoenix ",2016-08-09 01:13:07,PhoenixCP,Phoenix
41,762817204589105152,"Power is out #DateNight (at @HillsideSpot in Phoenix, AZ w/ @francesadixon)https://www.swarmapp.com/c/3widpkibXJx ",2016-08-09 01:06:08,THEAndyManning,Phoenix
42,762662193888276480,"Delta has cancelled approx. 300 flights due to power outage. Systems are coming back online, but delays and… http://toplocalnow.com/us/phoenix ",2016-08-08 14:50:11,PhoenixCP,Phoenix
43,762640303001997313,Delta ground stop has been lifted & limited departures resuming following power outage in ATL that impacted Delta… http://toplocalnow.com/us/phoenix ,2016-08-08 13:23:12,PhoenixCP,Phoenix
44,760577697177145344,"NOW: Almost 3,000 customers without power in Flagstaff right now. Power is also out at NAU. Strong storms in area http://bit.ly/1us8pe3 ",2016-08-02 20:47:08,PhoenixCP,Phoenix
45,760563592361979904,Power's out on campus. More updates to follow @NAU http://toplocalnow.com/us/phoenix ,2016-08-02 19:51:05,PhoenixCP,Phoenix
46,756940476679192576,"ALERT: Thousands without power in Glendale area after ""object"" flies into power lines, details developing @12News http://toplocalnow.com/us/phoenix ",2016-07-23 19:54:07,PhoenixCP,Phoenix
47,755283454065901568,"#summer #workouts
#jump #school in the dark during a #power #outage @ Athletes Agility Connection https://www.instagram.com/p/BICFAwLBfI0/ ",2016-07-19 06:09:42,agility_vrod66,Phoenix
48,755283015211769856,"#summer #workouts 
Not even a power outage can stop #jump #school
#athlete #highschool #kids… https://www.instagram.com/p/BICEz-NBf0h/ ",2016-07-19 06:07:57,agility_vrod66,Phoenix
49,740678722953478144,Due to a power outage Riggs/Lindsay intersection light is still out. CPD there for traffic control. SRP working on… http://toplocalnow.com/united-states/arizona/phoenix …,2016-06-08 22:55:43,PhoenixCP,Phoenix
50,739298478765932545,NEW: Salt River Project reports a total of 2400 without power in W. Valley due to substation breaker tripping &… http://toplocalnow.com/united-states/arizona/phoenix …,2016-06-05 03:31:07,PhoenixCP,Phoenix
51,728657852194279426,"Moo hop! Just had a power outage (at @Walmart Supercenter in Tempe, AZ) https://www.swarmapp.com/c/ajYtYP8w186 pic.twitter.com/of9s7648V3",2016-05-06 18:49:04,fivestarprodj,Phoenix
52,724950720517005312,Driver plows car into old wooden power pole. Result? Power out to 600+ homes 16th St & Thomas. via Mike Robison… http://toplocalnow.com/united-states/arizona/phoenix …,2016-04-26 13:18:15,PhoenixCP,Phoenix
53,724673611676680193,"Power outage in my area until about 2pm. Great  (@ Bachelorette Party Pad in Glendale, AZ) https://www.swarmapp.com/c/l1YXWff4LFc ",2016-04-25 18:57:07,kaytludi,Phoenix
54,721158450051321857,"Working a hard closure on Southern from Mill to Roosevelt, power outage to blame. Please avoid the area if… http://toplocalnow.com/united-states/arizona/phoenix …",2016-04-16 02:09:07,PhoenixCP,Phoenix
55,720944054662397952,"Traffic collision causes temporary power outage in SurpriseSurprise AZ (April 15, 2016) Surprise Police are... http://fb.me/57EbOBzFG ",2016-04-15 11:57:11,PhoenixCP,Phoenix
56,720660675895238657,"Chandler Fire, car lost control, ran off the road into electrical box. No injuries, electricity out in large area.… http://toplocalnow.com/united-states/arizona/phoenix …",2016-04-14 17:11:09,PhoenixCP,Phoenix
57,715856969093885952,car takes out power pole 43 Ave & Peoria. Power is out @ intersection. Use caution 12news @dlclark12news http://toplocalnow.com/united-states/arizona/phoenix …,2016-04-01 11:02:56,PhoenixCP,Phoenix
58,705471274244513792,Hooking the kids up with prizes and more! Power is out here at Career exploration day for… https://www.instagram.com/p/BCgJDe2hRam/ ,2016-03-03 19:13:53,POWER983,Phoenix
