,index,station,date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT05,WT11,elevation,mindate,maxdate,latitude,name,datacoverage,elevationUnit,longitude
30,30,GHCND:USC00412114,2014-03-08T00:00:00,22.0,0.0,,,189.0,6.0,117.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
31,31,GHCND:USC00412114,2014-03-09T00:00:00,27.0,193.0,,,189.0,56.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
32,32,GHCND:USC00412114,2014-03-10T00:00:00,0.0,0.0,,,128.0,50.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
33,33,GHCND:USC00412114,2014-03-11T00:00:00,22.0,0.0,,,239.0,67.0,128.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
34,34,GHCND:USC00412114,2014-03-12T00:00:00,85.0,0.0,,,244.0,111.0,111.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
35,35,GHCND:USC00412114,2014-03-13T00:00:00,0.0,0.0,,,178.0,17.0,17.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
36,36,GHCND:USC00412114,2014-03-14T00:00:00,27.0,0.0,,,211.0,11.0,89.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
37,37,GHCND:USC00412114,2014-03-15T00:00:00,27.0,0.0,,,228.0,89.0,167.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
38,38,GHCND:USC00412114,2014-03-16T00:00:00,40.0,366.0,,,211.0,133.0,133.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
39,39,GHCND:USC00412114,2014-03-17T00:00:00,27.0,0.0,,,167.0,56.0,56.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
40,40,GHCND:USC00412114,2014-03-18T00:00:00,27.0,0.0,,,172.0,56.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
41,41,GHCND:USC00412114,2014-03-19T00:00:00,0.0,0.0,,,256.0,67.0,139.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
42,42,GHCND:USC00412114,2014-03-20T00:00:00,18.0,0.0,,,222.0,67.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
43,43,GHCND:USC00412114,2014-03-21T00:00:00,9.0,0.0,,,250.0,72.0,78.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
44,44,GHCND:USC00412114,2014-03-24T00:00:00,13.0,0.0,,,161.0,83.0,89.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
45,45,GHCND:USC00412114,2014-03-25T00:00:00,22.0,0.0,,,206.0,56.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
46,46,GHCND:USC00412114,2014-03-26T00:00:00,9.0,0.0,,,200.0,61.0,72.0,,,,,105.8,1904-08-01,2019-04-19,31.3072,"CROCKETT, TX US",1,METERS,-95.4509
